node,lidvid,product_class,superseded
PDS_GEO,urn:nasa:pds:lro_diviner_raw:document_catalog::3.0,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.raw:calibration.ion::1.30,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.arc_pad::3.27,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.svy_pad::3.27,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.euv.modelled:data.minute.spectra::19.0,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.euv.modelled:data.daily.spectra::19.0,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.raw:calibration.tro::1.26,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.raw:calibration.wea::1.23,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.lpw.calibrated:data.w.e12::5.18,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.lpw.calibrated:data.w.specact::5.18,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.lpw.calibrated:data.w.e12burstlf::6.3,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.derived:data.edp::1.17,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.sep.calibrated:data.spec::2.22,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.static.c:data.d0_32e4d16a8m::4.9,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.static.c:data.c4_4e64m::4.1,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.static.c:data.da_1r::4.9,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.static.c:data.c6_32e64m::4.14,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.svy_3d::3.18,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.svy_pad::3.18,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.svy_spec::4.0,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.svy_pad::4.0,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.euv.modelled:data.minute.spectra::22.1,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.eps::2.21,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.usm5::2.21,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.arc_3d::4.5,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swea.calibrated:data.svy_spec::4.5,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.raw:calibration.wea::1.19,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.raw:data.rsr::1.21,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.static.c:data.d9_12r64e::4.20,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.static.c:data.d0_32e4d16a8m::4.20,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.calibrated:calibration.fup::1.20,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.lpw.calibrated:data.lp.iv::5.13,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.mag.calibrated:data.pc::2.23,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.swia.calibrated:data.onboard_svy_mom::2.10,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.usm3::2.5,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.pf::2.10,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.usm1::2.10,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.usm3::2.10,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.ngms::2.10,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.usm4::2.10,Product_Collection,true
PDS_PPI,urn:nasa:pds:mess-epps-fips-derived:data-espec::1.1,Product_Collection,true
PDS_PPI,urn:nasa:pds:mess-epps-fips-derived:data-ntp::1.1,Product_Collection,true
PDS_PPI,urn:nasa:pds:mess-epps-fips-derived:data-fluxmap::1.1,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.raw:calibration.wea::1.22,Product_Collection,true
PDS_GEO,urn:nasa:pds:insight_rad:data_derived::9.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:mars2020_pixl:data_processed::2.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:mars2020_rover_places:data_maps::3.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:mars2020_rover_places:data_localizations::3.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:jpl.dsn.mmm:tro::4.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:insight_documents:document_seis::13.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:insight_documents:document_ida::9.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:jpl.dsn.mmm:wea::10.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:msl_chemcam_psv_calibrated:data_rad::2.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:mro_sharad_simulations:document::5.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:jpl.dsn.mmm:wea::2.0,Product_Collection,true
PDS_GEO,urn:nasa:pds:jpl.dsn.mmm:tro::2.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:msl_navcam_mosaic:data::39.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:mars2020_imgops:data_rmi_imgops::1.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:msl_mmm:document::4.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:mars2020_mastcamz_sci_calibrated:data::3.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:lro-l-lroc-5-rdr:lrolrc_2001_data::3.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:mars2020_cachecam_ops_calibrated:data::2.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:msl_mmm:miscellaneous_mslmrd::3.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:mars2020_navcam_ops_raw:browse::3.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:mars2020_edlcam_ops_raw:data_sol0_ruc::2.0,Product_Collection,true
PDS_IMG,urn:nasa:pds:lro-l-lroc-2-edr:lrolrc_0059a_data::1.0,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.sasm1::1.18,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.ngms::1.18,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.lpw.calibrated:data.w.e12burstlf::6.6,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.euv.modelled:data.daily.spectra::22.3,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.rs::2.15,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.sasm1::2.15,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.pf::2.15,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.anc:data.drf.eps::2.15,Product_Collection,true
PDS_PPI,urn:nasa:pds:maven.rose.derived:document::1.2,Product_Collection,true
