node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_GEO,2024-01-24,24,337,326,2536
PDS_GEO,2024-01-25,24,338,326,2536
PDS_GEO,2024-01-28,24,340,326,2536
PDS_GEO,2024-02-05,24,342,326,2536
PDS_GEO,2024-02-10,24,343,326,2536
PDS_GEO,2024-02-28,24,346,326,2536
PDS_GEO,2024-03-13,25,386,326,2536
PDS_GEO,2024-03-14,25,389,326,2536
PDS_GEO,2024-03-16,25,390,326,2536
PDS_GEO,2024-03-18,25,392,326,2536
PDS_GEO,2024-03-19,25,396,326,2536
PDS_GEO,2024-03-29,25,430,326,2536
PDS_GEO,2024-04-05,25,433,326,2536
PDS_GEO,2024-05-01,25,438,326,2536
PDS_GEO,2024-05-13,25,439,326,2536
PDS_GEO,2024-09-16,26,448,326,2536
PDS_GEO,2024-10-27,26,450,326,2536
PDS_GEO,2024-10-29,37,488,326,2536
PDS_GEO,2024-10-30,62,541,326,2536
PDS_GEO,2024-10-31,67,562,326,2536
PDS_GEO,2024-11-01,69,572,326,2536
PDS_GEO,2024-11-04,77,610,326,2536
PDS_GEO,2024-11-05,80,624,326,2536
PDS_GEO,2024-11-06,93,684,326,2536
PDS_GEO,2024-11-07,97,710,326,2536
PDS_GEO,2024-11-08,99,722,326,2536
PDS_GEO,2024-11-10,103,762,326,2536
PDS_GEO,2024-11-11,108,781,326,2536
PDS_GEO,2024-11-13,111,797,326,2536
PDS_GEO,2024-11-14,116,842,326,2536
PDS_GEO,2024-11-15,122,867,326,2536
PDS_GEO,2024-11-20,124,874,326,2536
PDS_GEO,2024-11-25,134,917,326,2536
PDS_GEO,2024-11-26,165,1038,326,2536
PDS_GEO,2024-11-27,166,1042,326,2536
PDS_GEO,2024-12-03,177,1094,326,2536
PDS_GEO,2024-12-04,177,1095,326,2536
PDS_GEO,2024-12-06,179,1106,326,2536
PDS_GEO,2024-12-07,184,1137,326,2536
PDS_GEO,2024-12-13,189,1158,326,2536
PDS_GEO,2024-12-14,190,1166,326,2536
PDS_GEO,2024-12-15,190,1168,326,2536
PDS_GEO,2024-12-17,192,1177,326,2536
PDS_GEO,2025-01-07,193,1186,326,2536
PDS_GEO,2025-01-16,194,1197,326,2536
PDS_GEO,2025-01-23,194,1198,326,2536
PDS_GEO,2025-01-28,196,1214,326,2536
PDS_GEO,2025-01-29,196,1215,326,2536
PDS_GEO,2025-01-30,197,1217,326,2536
PDS_GEO,2025-02-06,198,1219,326,2536
PDS_GEO,2025-02-10,198,1226,326,2536
PDS_GEO,2025-02-26,199,1227,326,2536
PDS_GEO,2025-02-28,199,1234,326,2536
PDS_GEO,2025-03-14,202,1243,326,2536
PDS_GEO,2025-03-15,202,1246,326,2536
PDS_GEO,2025-03-16,202,1253,326,2536
PDS_GEO,2025-03-18,202,1277,326,2536
PDS_GEO,2025-03-19,202,1286,326,2536
PDS_GEO,2025-03-20,202,1292,326,2536
PDS_GEO,2025-04-02,202,1298,326,2536
PDS_GEO,2025-04-03,204,1326,326,2536
PDS_GEO,2025-04-15,204,1329,326,2536
PDS_GEO,2025-04-18,209,1351,326,2536
