node,lidvid,product_class,harvest_date
PSA,urn:esa:psa:bc:context::2.0,Product_Collection,2023-08-23T15:01:57.164867Z
PSA,urn:esa:psa:bc:context::2.1,Product_Collection,2023-08-23T15:01:58.202746Z
PSA,urn:esa:psa:bc:context::2.2,Product_Collection,2023-08-23T15:01:59.891900Z
PSA,urn:esa:psa:bc:context::2.3,Product_Collection,2023-08-23T15:02:00.899238Z
PSA,urn:esa:psa:bc:context::3.0,Product_Collection,2023-08-23T15:02:02.231812Z
PSA,urn:esa:psa:bc:context::3.1,Product_Collection,2023-08-23T15:02:03.279779Z
PSA,urn:esa:psa:bc:context::3.2,Product_Collection,2023-08-23T15:02:04.299441Z
PSA,urn:esa:psa:bc:context::3.3,Product_Collection,2023-08-23T15:02:05.293757Z
PSA,urn:esa:psa:bc:context::3.4,Product_Collection,2023-08-23T15:02:06.908324Z
PSA,urn:esa:psa:bc:context::4.0,Product_Collection,2023-08-23T15:02:07.907779Z
PSA,urn:esa:psa:bc:context::4.1,Product_Collection,2023-08-23T15:02:09.238562Z
PSA,urn:esa:psa:bc:context::4.2,Product_Collection,2023-08-23T15:02:10.246648Z
PSA,urn:esa:psa:bc:context::4.3,Product_Collection,2023-08-23T15:02:11.239356Z
PSA,urn:esa:psa:bc:context::4.4,Product_Collection,2023-08-23T15:02:12.244634Z
PSA,urn:esa:psa:bc:context::5.0,Product_Collection,2023-08-23T15:02:13.249183Z
PSA,urn:esa:psa:bc:context::5.1,Product_Collection,2023-08-23T15:02:14.305399Z
PSA,urn:esa:psa:bc:context::5.2,Product_Collection,2023-08-23T15:02:15.256057Z
PSA,urn:esa:psa:bc:context::5.3,Product_Collection,2023-08-23T15:02:16.330636Z
PSA,urn:esa:psa:bc:context::5.4,Product_Collection,2023-08-23T15:02:17.905799Z
PSA,urn:esa:psa:bc:context::6.0,Product_Collection,2023-08-23T15:02:18.915663Z
PSA,urn:esa:psa:bc:context::6.1,Product_Collection,2023-08-23T15:02:19.917599Z
PSA,urn:esa:psa:bc:context::6.2,Product_Collection,2023-08-23T15:02:21.330521Z
PSA,urn:esa:psa:bc:context::6.3,Product_Collection,2023-08-23T15:02:22.285477Z
PSA,urn:esa:psa:bc:context::7.0,Product_Collection,2023-08-23T15:02:23.937178Z
PSA,urn:esa:psa:bc:context::8.0,Product_Collection,2023-08-23T15:02:26.500104Z
PSA,urn:esa:psa:bc:context::8.1,Product_Collection,2023-08-23T15:02:27.919978Z
PSA,urn:esa:psa:bc:context::8.2,Product_Collection,2023-08-23T15:02:28.929228Z
PSA,urn:esa:psa:bc:context::8.3,Product_Collection,2023-08-23T15:02:29.924634Z
PSA,urn:esa:psa:bc:context::9.0,Product_Collection,2023-08-23T15:02:31.268492Z
PSA,urn:esa:psa:bc:context::9.1,Product_Collection,2023-08-23T15:02:32.265690Z
PSA,urn:esa:psa:bc:context::9.2,Product_Collection,2023-08-23T15:02:33.269952Z
PSA,urn:esa:psa:bc:context::9.3,Product_Collection,2023-08-23T15:02:34.279450Z
PSA,urn:esa:psa:bc:context::9.4,Product_Collection,2023-08-23T15:02:35.940334Z
PSA,urn:esa:psa:bc:document::1.0,Product_Collection,2026-04-22T05:01:40.744502Z
PSA,urn:esa:psa:bc:document::1.1,Product_Collection,2023-08-23T15:02:52.342353Z
PSA,urn:esa:psa:bc:document::1.10,Product_Collection,2023-08-23T15:03:02.313047Z
PSA,urn:esa:psa:bc:document::1.11,Product_Collection,2023-08-23T15:03:03.321775Z
PSA,urn:esa:psa:bc:document::1.12,Product_Collection,2023-08-23T15:03:04.325094Z
PSA,urn:esa:psa:bc:document::1.13,Product_Collection,2023-08-23T15:03:05.323675Z
PSA,urn:esa:psa:bc:document::1.14,Product_Collection,2023-08-23T15:03:06.348992Z
PSA,urn:esa:psa:bc:document::1.15,Product_Collection,2023-08-23T15:03:07.356044Z
PSA,urn:esa:psa:bc:document::1.16,Product_Collection,2023-08-23T15:03:08.960185Z
PSA,urn:esa:psa:bc:document::1.17,Product_Collection,2023-08-23T15:03:10.371017Z
PSA,urn:esa:psa:bc:document::1.18,Product_Collection,2023-08-23T15:03:11.337424Z
PSA,urn:esa:psa:bc:document::1.19,Product_Collection,2023-08-23T15:03:12.333731Z
PSA,urn:esa:psa:bc:document::1.2,Product_Collection,2023-08-23T15:02:53.297688Z
PSA,urn:esa:psa:bc:document::1.20,Product_Collection,2023-08-23T15:03:13.341958Z
PSA,urn:esa:psa:bc:document::1.21,Product_Collection,2023-08-23T15:03:14.343710Z
PSA,urn:esa:psa:bc:document::1.22,Product_Collection,2023-08-23T15:03:15.355462Z
PSA,urn:esa:psa:bc:document::1.23,Product_Collection,2023-08-23T15:03:16.368699Z
PSA,urn:esa:psa:bc:document::1.24,Product_Collection,2023-08-23T15:03:17.973641Z
PSA,urn:esa:psa:bc:document::1.25,Product_Collection,2023-08-23T15:03:19.357448Z
PSA,urn:esa:psa:bc:document::1.26,Product_Collection,2023-08-23T15:03:20.375595Z
PSA,urn:esa:psa:bc:document::1.27,Product_Collection,2023-08-23T15:03:21.981637Z
PSA,urn:esa:psa:bc:document::1.28,Product_Collection,2023-08-23T15:03:22.976435Z
PSA,urn:esa:psa:bc:document::1.29,Product_Collection,2023-08-23T15:03:25.503481Z
PSA,urn:esa:psa:bc:document::1.3,Product_Collection,2023-08-23T15:02:54.299082Z
PSA,urn:esa:psa:bc:document::1.30,Product_Collection,2023-08-23T15:03:26.390692Z
PSA,urn:esa:psa:bc:document::1.31,Product_Collection,2023-08-23T15:03:27.390722Z
PSA,urn:esa:psa:bc:document::1.32,Product_Collection,2023-08-23T15:03:28.997138Z
PSA,urn:esa:psa:bc:document::1.33,Product_Collection,2023-08-23T15:03:29.985763Z
PSA,urn:esa:psa:bc:document::1.34,Product_Collection,2023-08-23T15:03:30.998443Z
PSA,urn:esa:psa:bc:document::1.35,Product_Collection,2023-08-23T15:03:31.996473Z
PSA,urn:esa:psa:bc:document::1.36,Product_Collection,2023-08-23T15:03:33.001730Z
PSA,urn:esa:psa:bc:document::1.37,Product_Collection,2023-08-23T15:03:34.000725Z
PSA,urn:esa:psa:bc:document::1.38,Product_Collection,2023-08-23T15:03:35.014600Z
PSA,urn:esa:psa:bc:document::1.39,Product_Collection,2023-08-23T15:03:36.368890Z
PSA,urn:esa:psa:bc:document::1.4,Product_Collection,2023-08-23T15:02:55.352566Z
PSA,urn:esa:psa:bc:document::1.40,Product_Collection,2023-08-23T15:03:37.436939Z
PSA,urn:esa:psa:bc:document::1.41,Product_Collection,2023-08-23T15:03:38.379930Z
PSA,urn:esa:psa:bc:document::1.42,Product_Collection,2023-08-23T15:03:39.390388Z
PSA,urn:esa:psa:bc:document::1.43,Product_Collection,2023-08-23T15:03:41.017217Z
